,old_1,old_2,old_3,old_4,old_5,new_1,new_2,new_3,new_4,new_5
0,-9.99,-4.761202473,-5.706425656,-5.402814231,-4.990676642,-2.315675993,0.409514631,0.448709322,0.746811952,0.52329694
1,-9.99,-6.064169742,-5.913852483,-4.827959997,-5.31508345,-2.246308069,0.309613626,-0.137722084,0.464654194,0.719182048
2,-9.144,-4.624048914,-3.963216896,-5.122937748,-4.519546543,-2.6910087,0.673296641,-0.220220099,0.216178041,0.528906547
3,-9.86,-4.569047011,-5.650789076,-4.724280995,-5.274168511,-3.333467457,0.513210095,-0.776665001,0.72891916,0.747002373
4,-9.92,-3.684999917,-3.539191135,-4.602249623,-4.795881473,-2.981225066,0.292845126,0.454551218,0.762165511,0.514559862
5,-9.92,-4.717455024,-3.999883515,-3.884900997,-3.473145035,-1.628270879,0.38464984,0.544728907,0.738193178,0.760129796
6,-9.95,-2.97843733,-2.92824002,-5.128509188,-3.115698099,-1.460503103,0.28911904,0.213110262,0.75083696,0.315554082
7,-9.99,-2.440874875,-2.607985105,-5.600285386,-2.311960082,-2.368254743,0.685893658,0.410459076,0.729537933,0.769572891
8,-9.98,-2.998940081,-2.09740316,-2.727541589,-2.759226662,-0.837296835,-0.051421058,0.388856119,0.553144202,0.665456633
9,-9.98,-2.985464232,-1.787566795,-3.490482284,-2.663047438,-1.82939033,0.088114812,-0.306709244,0.704129619,0.762001925
10,-9.97,-2.087254035,-1.515247346,-2.982563523,-2.848078992,-0.375629836,0.308541277,-0.018174967,0.642245776,0.715113892
11,-9.99,-4.091853348,-3.417195958,-2.85939039,-1.857519359,0.219584742,0.536952202,0.401021398,0.556571722,0.722842827
12,-9.95,-3.834006139,-2.193440881,-2.937335801,-2.557257034,-0.211275554,0.679128943,0.57204201,0.761111483,0.757470535
13,-9.93,-3.129218713,-1.791908271,-4.72587522,-2.172979672,-0.750916191,0.752248588,0.493162381,0.455784708,0.723040472
14,-9.99,-4.051306475,-2.19212876,-3.182504049,-2.431028413,0.215184671,0.746868153,0.527745246,0.750650799,0.743791323
15,-9.99,-3.870305068,-1.50614984,-3.576798484,-3.505799481,-0.71469195,0.731639663,0.707382009,0.765667239,0.75833378
16,-9.96,-2.016440909,-1.801601735,-2.78770387,-1.362434104,0.346369168,0.744360661,0.15628569,0.722476033,0.759095337
17,-9.98,-1.580318226,-1.573351779,-2.174840568,-1.825307217,0.340161715,0.738908777,0.727885704,0.761480966,0.768407454
18,-9.459,-1.758295023,-2.748308217,-2.14664333,-1.792886531,0.194658434,0.525126409,0.724341199,0.769210735,0.772356927
19,-9.99,-2.433263335,-2.369721486,-2.207256228,-2.036855573,0.168990357,0.5056199,0.757987418,0.73963785,0.748456508
20,-8.447,-2.769309239,-1.450773368,-3.501707528,-3.010938706,0.155840686,0.74421636,0.761030301,0.750703683,0.534362852
21,-9.96,-3.636400448,-2.897757674,-2.755019681,-1.798663896,0.264982373,0.758893343,0.725233966,0.731054051,0.752812615
22,-9.98,-2.570614722,-1.466095735,-1.05318195,-4.159263585,0.413989086,0.747164002,0.73495063,0.756508772,0.739139214
23,-9.82,-1.69309904,-1.075614656,-2.3553984,-1.247073462,-0.159282962,0.556569452,0.533739288,0.732878926,0.747093353
24,-9.95,-2.057390415,-3.417458828,-2.117888827,-1.372514567,0.399022541,0.745417023,0.68482524,0.743265791,0.743391435
25,-9.88,-1.95954997,-4.058483949,-2.900066461,-2.653504248,0.442320483,0.755607369,0.738549735,0.378126116,0.767324245
26,-9.8,-1.854397588,-1.496646847,-1.446704649,-1.918096373,0.672250518,0.644661117,0.748165968,-0.254187628,0.739323008
27,-9.86,-1.227896996,-0.612740542,-1.135298925,-1.15219628,0.661603639,0.058589128,0.740465208,0.705343491,0.73797475
28,-9.193,-1.360364817,-0.771245127,-3.597338484,-2.16412202,0.330854904,0.722831716,0.731137674,0.741230904,0.774302675
29,-9.74,-1.406525243,-1.786532556,-2.235793197,-3.088121535,0.537484572,0.725305175,0.754146223,0.570580828,0.598658427
30,-9.84,-0.660846415,-1.120726206,-2.748200796,-2.463968047,0.414871511,0.763415332,0.647325863,0.763183567,0.761148783
31,-9.76,-0.785164509,-1.481629181,-1.254366328,-0.733369712,0.682647379,0.747159965,0.757578358,0.761961921,0.748665406
32,-8.181,-2.322091797,-0.785956098,-0.776958434,-1.854173178,0.587702616,0.756521886,0.761647757,0.674936665,0.780557166
33,-8.159,-0.736948167,-0.949495837,-0.456256078,-0.86962325,0.381116287,0.740726343,0.423803308,0.764752334,0.717471477
34,-9.8,-0.291867244,-1.712593439,-0.908832715,-1.323013811,0.670570933,0.755155614,0.480854575,0.704378577,0.758462676
35,-8.681,-0.909053102,-1.395403087,-1.733637172,-1.04766876,0.642788662,0.749560624,-1.09063737,0.292477657,0.762154766
36,-6.451,-1.283756131,-2.002431531,-2.049168901,-0.849738626,0.644024473,0.757390667,0.091786967,0.75443285,0.773852293
37,-9.054,-0.823582839,-0.745314155,-2.165223616,-0.68401395,0.679355831,0.454862537,0.53225863,0.747569814,0.781046129
38,-7.205,-0.773596054,-0.907264057,-0.985351934,-0.813885308,0.681073359,0.691980635,0.115248682,0.39672475,0.720711275
39,-4.39,-2.098977314,-1.653608657,-1.002366811,-1.100935658,0.564643405,0.752882712,0.089526299,0.034343964,0.763786638
40,-7.172,-0.722457325,0.166806156,-0.911745428,-0.581455695,0.623518806,0.722657614,0.769700557,0.784034009,0.754422057
41,-8.201,-0.531420855,-1.611558204,-0.532261017,-1.668445615,0.656223078,0.422207647,0.389742448,0.746772131,0.760816445
42,-6.507,-0.364182565,-2.098859234,-1.043608466,-2.12084113,0.625015641,0.736606356,0.657349264,0.770556395,0.75387826
43,-6.903,-0.429408454,-0.293336714,-2.757570807,-0.14501581,0.666044183,0.756484064,0.755521398,0.746635317,0.77683232
44,-6.691,-0.78136508,-0.472089776,-1.420199636,-0.237067295,0.671452715,0.722869228,0.730196818,0.783608531,0.773698582
45,-6.464,-0.479864632,0.226627311,-2.650196315,-0.699092634,0.504113638,0.417758745,0.714713634,0.751280988,0.752503654
46,-5.953,-0.902056828,-0.792945492,-0.466470434,-0.075422445,0.6798055,0.760161588,0.766891218,0.742456269,0.766935291
47,-8.669,-0.628270675,-0.213042959,-1.849090981,-1.355865931,0.667939353,0.507395387,0.716994331,0.763625528,0.773330352
48,-5.434,-1.300397083,-0.578700145,-0.87978198,-0.247568759,0.639062881,0.762568415,0.700867719,0.646046284,0.754522948
49,-3.972,-1.123246227,-0.640734037,-3.302559246,0.128709706,-0.709649496,0.707829875,0.762501898,0.771866235,0.757707046
50,-5.041,-1.539756729,-0.658527773,-0.907134984,0.020427516,0.663416653,0.750767767,0.72759871,0.763716625,0.761251715
51,-6.038,0.040236998,-1.249143501,-1.430030442,-0.330869813,0.031655145,0.737559536,0.494091509,0.767937506,0.525335393
52,-5.397,-0.394653182,-0.527633889,-1.239163172,0.199364781,-0.699641803,0.533725832,0.773349725,0.765609048,0.773257509
53,-4.895,-1.155884877,-0.722031069,-1.527615813,0.43496488,0.537003078,0.786502207,0.77672185,0.76013386,0.753575565
54,-4.589,-1.817282065,-0.205972708,-1.335126557,-0.336186556,0.659400903,0.763199703,0.769663327,0.734708519,0.765936368
55,-5.272,-0.612064352,-0.36745579,-1.045584258,-0.573243312,0.388588387,0.729390059,0.716189728,0.693940553,0.743127017
56,-4.914,-0.270090166,0.022202001,-1.073783598,0.11291025,0.638363122,0.634819487,0.765897969,0.776734747,0.764432954
57,-5.349,-0.274200375,0.134476661,0.007324967,-0.702013728,-0.034607447,0.760605026,0.757268845,0.783556694,0.751003793
58,-7.481,-0.704870319,-0.373722677,-1.335298526,-0.792894288,-0.68544466,0.653585374,0.338437628,0.772500209,0.741629124
59,-2.473,-0.179000214,0.377479961,-0.302962492,-0.357880949,-0.327152139,0.4823894,0.770943239,0.759080944,0.669081131
60,-2.554,-0.520726058,-0.189223088,-0.829867659,-0.155737337,-0.712427688,0.744183658,0.719243811,0.748833546,0.7326643
61,-1.595,-0.88731982,0.169068643,-0.538176761,0.304494144,0.028820645,-0.006091021,0.763962638,0.362857359,0.770647157
62,-4.571,-1.192904102,-0.302992479,-0.594144358,0.080643527,-0.647256465,0.758018435,0.743846393,0.768228439,0.775042655
63,-1.916,-0.367668999,0.459155735,-0.377584466,-0.141226279,0.41562992,0.772814204,0.75664709,0.783084574,0.771454394
64,-2.979,-0.925700627,0.25815538,-0.823165238,-0.078391738,0.361056966,0.766487062,0.766957654,0.536899675,0.765919042
65,-4.451,-0.531077677,-0.105006271,-0.820262886,0.14358391,-0.434236972,0.747753499,0.746615437,0.762357316,0.77387761
66,-1.948,-0.734559292,0.087221745,-0.44059501,0.449626426,-0.02956643,0.724513123,0.753594969,0.738314428,0.537769534
67,-1.709,-0.479539771,0.147930205,-0.137706694,-0.076689161,0.661991012,0.68691518,0.773937771,0.768591381,0.76117612
68,-5.558,-0.790487308,0.186984944,-1.236331663,0.340773489,-1.433066324,-0.264917089,0.731166927,0.759632027,0.74585837
69,-3.11,0.101780336,-0.529326661,-0.772831427,0.170851175,0.392273317,0.780180058,0.772214687,0.764293849,0.747205003
70,-2.637,0.05803735,0.114645022,-1.362230922,-0.065478416,-0.019360926,0.333727537,0.746185167,0.748890796,0.750167631
71,-3.146,-0.533452131,0.077583336,-0.363123014,0.195555284,0.104079121,0.760142592,0.767854343,0.771143826,0.733619179
72,-2.31,-1.095846646,0.192291274,-0.605235637,-1.196342262,,0.742620181,0.760011053,0.77754681,0.767852111
73,-3.818,-0.321769087,-0.393358747,0.126736595,-0.640511664,,0.756375201,0.482828994,0.751306239,0.771863567
74,-3.522,-0.912286114,-0.550218583,-0.714162983,0.192150616,,0.76624674,0.723113512,0.769800157,0.772272719
75,-5.329,0.414402822,-0.049135154,-0.059173469,0.167147267,,0.724619439,0.326936045,0.765241485,0.744433257
76,-5.197,-0.267394693,-0.463075278,-1.073454587,-0.061438449,,0.775001012,0.76431542,0.759496502,0.782789334
77,-5.321,-0.488426939,0.25708439,-0.503937017,-0.027142843,,0.513937733,0.76197472,0.750749694,0.768366766
78,-4.451,0.363755536,0.391186509,-1.431623629,0.715201545,,0.727026732,0.746456332,0.765765082,0.776276609
79,-4.357,0.008627195,0.304353732,-0.257421971,0.657939213,,0.755565684,0.77428119,0.72225879,0.76258829
80,-2.998,-1.01012271,-0.419466383,-0.31759001,-0.022039406,,0.547537592,0.770511812,0.747090239,0.756330897
81,-4.141,0.612799876,0.431413715,-0.538879911,0.093047127,,0.757557751,0.752908357,0.467352891,0.771936579
82,-1.4,-0.682839579,-0.04527672,0.022720718,0.317084461,,0.477271027,0.742885761,0.626721658,0.757776628
83,-3.384,0.108904622,0.304315849,-0.108141036,0.149074534,,0.715560481,0.671338043,0.760215784,0.755160842
84,-5.033,-0.279152411,0.169834793,-0.925729518,0.17521047,,0.772007109,0.77387276,0.581104742,0.777262676
85,-2.411,-0.245079396,0.295485639,-0.469400572,-0.048279407,,0.76064156,0.538199559,0.788949856,0.753870861
86,-6.174,-0.261461843,-0.161214955,0.101403114,0.643938548,,0.733702244,0.610211306,0.372620299,0.753772503
87,-2.341,-0.634723054,0.319568444,0.257902033,0.466873298,,0.755835581,0.775709018,0.788567708,0.766529452
88,-5.824,-0.207272143,0.107721107,-0.678842213,-0.271669564,,0.752638295,0.74361264,0.736548491,0.773704729
89,-4.483,-0.072986161,0.33136584,-0.665649223,0.491375922,,0.345785326,0.744831045,0.765469335,0.774020303
90,-1.904,0.069447054,0.370830839,0.134680047,0.223926939,,0.750653011,0.76567683,0.76709665,0.537690444
91,-1.227,0.543659562,0.678002062,-1.010176128,0.667436738,,0.773301475,0.762165857,0.761749273,0.778543429
92,-6.021,0.251752944,0.602067798,-0.620621092,0.689693308,,0.71753084,0.778632657,0.763914146,0.767587778
93,-4.588,0.27480148,0.26217997,0.290434611,-0.143827656,,0.75052806,0.738170469,0.753462626,0.757826537
94,-1.938,-0.003313707,-0.067458341,-0.712641351,0.545585618,,0.757859364,0.746746713,0.763218158,0.769098296
95,-2.456,-0.472693602,0.275771104,0.286164129,0.494616468,,0.757958717,0.769471768,0.7484229,0.777104911
96,-1.245,0.166444397,0.534947141,0.23748692,0.473580645,,0.771764238,0.774690508,0.520004633,0.785066643
97,-0.605,-0.507156128,-0.060433216,-0.065837914,0.177949593,,0.526862279,0.759112991,0.75849114,0.760672987
98,-1.243,0.221742006,0.281974003,0.286030837,0.719054507,,0.770298643,0.770464788,0.742279378,0.764357093
99,-3.786,0.190170621,-0.499370383,0.027098318,0.451656123,,0.729933023,0.76849643,0.776598751,0.777650943
100,-1.403,-0.531531061,0.607931086,0.109199626,0.534955805,,0.764538189,0.761634708,0.534839166,0.759619298
101,-4.41,0.51500338,0.231308333,0.026270169,0.108141113,,0.735900481,0.770154555,0.770151979,0.756949126
102,-0.791,-0.496283188,0.567779934,-0.096094827,0.57623828,,0.773109817,0.771745893,0.661992889,0.770379211
103,-1.46,0.182351752,0.129139158,-0.347646474,0.695302189,,0.46305689,0.778429661,0.779331826,0.777509692
104,-4.423,0.622868619,0.208074705,-1.478542261,0.716184373,,0.763171885,0.738532911,0.772410059,0.761232673
105,-5.072,0.64516524,0.055120694,-0.501317982,0.596407442,,0.760440504,0.543197568,0.775430642,0.750800809
106,-3.206,-0.553204334,-0.302969825,-0.118998798,0.303611697,,0.753252804,0.790441233,0.786285966,0.739614527
107,-2.3,0.306013302,-0.269231534,-1.027786676,0.638837771,,0.79248459,0.768279105,0.728217209,0.76473001
108,-0.351,-2.177985873,0.444361761,0.030385098,0.6490221,,0.544864869,0.779010998,0.779938452,0.750491353
109,-1.299,0.411230394,0.488237926,0.434319469,-0.655011634,,0.555671415,0.753859159,0.759200072,0.749945139
110,-2.09,-1.063126309,0.086025136,0.261896596,0.273473892,,0.766368661,0.438943456,0.707345348,0.77905803
